#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
          160        8000     100      837.98      955.26      867.73      893.30     3906.87               11.80
          160        9000     100      932.01     1029.75      975.02     1000.79     3696.15               11.82
          160       10000     100     1029.43     1203.81     1074.96     1108.19     3927.17               11.91
          160       11000     100     1136.13     1345.87     1191.43     1245.84     4183.66               11.82
          160       12000     100     1232.35     1434.88     1294.57     1352.92     3956.87               11.86
          160       13000     100     1325.31     1556.71     1391.45     1454.83     4175.47               11.96
          160       14000     100     1416.06     1765.89     1505.98     3465.96     4959.13               11.90
          160       15000     100     1538.52     1809.90     1604.06     1725.06     4384.25               11.97
          160       20000     100     2003.19     2262.40     2109.12     2182.68     4705.67               12.14
          160       25000     100     2501.06     2933.36     2640.46     4363.31     6969.64               12.12
          160       30000     100     2929.91     3407.69     3137.32     4735.77     6097.31               12.24
          160       35000     100     3510.22     4008.42     3686.38     5736.87     6632.09               12.15
          160       40000     100     4019.73     4498.80     4197.62     6095.02     7382.03               12.20
          160       45000     100     4666.94     5185.38     4923.48     5974.17     9217.26               11.70
          160       50000     100     5215.12     5707.96     5465.17     7082.66     9782.27               11.71
          160       55000     100     5764.19     6173.19     6006.47     6998.31     8848.58               11.72
          160       60000     100     6191.35     6641.92     6436.02     7083.64    10015.85               11.93

          180        1000     100      600.29      777.36      610.31     2058.59     2158.19                2.36
          180        2000     100      649.87      782.62      657.21      698.17     3422.22                4.38
          180        3000     100      687.51      904.02      710.51      822.67     5381.61                6.08
          180        4000     100      558.21      663.08      567.41      637.97     3602.66               10.15
          180        5000     100      604.53      681.75      622.10      639.87     3497.81               11.57
          180        6000     100      737.84      896.68      760.02      780.09     5664.66               11.37
          180        7000     100      864.08     1075.99      899.98      934.08     3604.56               11.20
          180        8000     100     1013.03     1257.47     1052.68     1096.45     4130.26               10.94
          180        9000     100     1135.30     1417.03     1170.58     1213.09     5067.12               11.07
          180       10000     100     1234.45     1557.89     1277.46     3631.37     5693.48               11.27
          180       11000     100     1344.82     1679.27     1402.58     3615.06     5551.20               11.29
          180       12000     100     1464.69     1841.46     1536.90     3699.64     5961.88               11.24
          180       13000     100     1576.08     1881.63     1658.87     3401.74     4181.61               11.28
          180       14000     100     1720.84     1993.18     1799.53     1892.82     4668.35               11.20
          180       15000     100     1826.78     2017.19     1919.37     1986.59     4875.49               11.25
          180       20000     100     2358.80     2840.00     2508.80     4466.83     5377.54               11.48
          180       25000     100     2982.24     3262.31     3122.68     3282.97     6158.45               11.53
          180       30000     100     3588.28     3934.41     3739.08     4202.51     8256.48               11.55
          180       35000     100     4160.23     4559.66     4362.10     5292.77     8189.64               11.55
          180       40000     100     4744.11     5234.90     4976.83     6852.14     8140.82               11.57
          180       45000     100     5593.93     6081.57     5845.49     7265.34    10086.61               11.09
          180       50000     100     6289.65     6695.95     6548.52     7455.98     9241.75               10.99
          180       55000     100     6938.77     7317.67     7189.07     7645.00     9768.87               11.02
          180       60000     100     7408.46     8128.94     7707.27     8493.04    35042.57               11.21


-----------------------------------------------------------------------------------------------------------------
After "export PSM2_RCVTHREAD=0", we get much better performance.

With 80*2 nodes, we get ~56Gbps per-machine bi-directional BW for messages >= 25KB.

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
          160       15000     100      881.80     1004.20      925.93     1038.08     3800.16               20.74
          160       20000     100      968.65     1212.84     1015.81     1273.80     5277.76               25.20
          160       25000     100     1066.38     1563.73     1108.52     1216.73    33738.75               28.87
          160       30000     100     1219.14     1469.25     1345.59     1446.34     4349.15               28.54
          160       35000     100     1512.07     1816.42     1609.66     1845.80     5456.80               27.83
          160       40000     100     1730.89     2101.32     1856.09     2490.72     4742.91               27.58

With 80*4 nodes, we also get ~56Gbps per-machine bi-directional BW for messages >= 15KB.

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
          320       15000     100     2450.82     2917.46     2644.76     4882.55     6550.39               14.52
          320       20000     100     3336.48     3792.50     3560.66     5268.42     6064.69               14.38
          320       25000     100     4192.95     4692.75     4482.26     5839.43     6805.35               14.28
          320       30000     100     5132.24     5518.96     5313.68     6458.12     7837.33               14.45
          320       35000     100     5910.62     6266.37     6167.50     6484.37     9394.76               14.53
          320       40000     100     6660.33     7782.48     7072.62     8291.56    57952.09               14.48

With 20*2 nodes, we are still limited by software overhead for messages < 16KB (SMDA threshold).

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
           40        1000     100      120.67      532.86      125.20     1732.51     3897.65                2.56
           40        4000     100      122.91      131.97      127.14      147.91      161.15               10.07
           40        8000     100      166.13      207.68      179.09      188.73     3015.12               14.29
           40       10000     100      179.60      193.32      192.52      202.88      214.20               16.62
           40       12000     100      189.08      207.38      205.97      219.97      236.35               18.64
           40       14000     100      205.48      221.13      220.25      232.02      244.14               20.34

And this doesn't degrade with larger cluster size such as 40*2 nodes.

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
           80        1000     100      241.90      831.83      251.58     1835.68     3426.99                2.54
           80        4000     100      239.28      316.36      250.62      294.93     3316.39               10.21
           80        8000     100      328.80      348.81      347.19      360.43      395.90               14.75
           80       10000     100      352.21      403.75      374.12      388.23     3241.50               17.11
           80       12000     100      387.23      404.52      402.92      416.08      451.04               19.06
           80       14000     100      412.95      488.53      430.81      447.60     3303.44               20.80

With 40*4 nodes, we continue to increase the per-machine throughput (except for the noisy 1KB case).
For messages < 10KB, we are still limited by software overhead; however, for larger messages, it is
less clear: the 15.7*4 = 62.8Gbps for 14KB is pretty close to (slightly better because only 40 machines?)
the 56Gbps achieved with 40KB messages using SDMA (i.e., we might be hitting the same unknown bottleneck).

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
          160        1000     200      503.09      559.32      523.89      598.43     1806.05                2.44
          160        4000     200      539.00      689.48      555.07      633.61     3215.40                9.22
          160        8000     200      786.66      872.55      812.53      833.03     3802.48               12.60
          160       10000     200      899.32      982.85      919.88      938.05     3801.86               13.91
          160       12000     200     1008.49     1086.94     1025.94     1047.70     4204.22               14.97
          160       14000     200     1120.92     1225.78     1141.29     1162.24     4162.32               15.70

====================================
scratch space:

20*4
#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
           80       16000     100      626.46      740.80      644.70      678.34     3890.14               15.88
